,Quarter,Revenue,Net Income
0,2020-03-31,75452,2535
1,2019-12-31,87437,3268
2,2019-09-30,69981,2134
3,2019-06-30,63404,2625
4,2019-03-31,59700,3561
5,2018-12-31,72383,3027
6,2018-09-30,56576,2883
7,2018-06-30,52886,2534
8,2018-03-31,51042,1629
9,2017-12-31,60453,1856
10,2017-09-30,43744,256
11,2017-06-30,37955,197
12,2017-03-31,35714,724
13,2016-12-31,43741,749
14,2016-09-30,32714,252
15,2016-06-30,30404,857
16,2016-03-31,29128,513
17,2015-12-31,35746,482
18,2015-09-30,25358,79
19,2015-06-30,23185,92
20,2015-03-31,22717,-57
21,2014-12-31,29328,214
22,2014-09-30,20579,-437
23,2014-06-30,19340,-126
24,2014-03-31,19741,108
25,2013-12-31,25586,240
26,2013-09-30,17092,-41
27,2013-06-30,15704,-7
28,2013-03-31,16070,82
29,2012-12-31,21268,98
30,2012-09-30,13806,-274
31,2012-06-30,12834,7
32,2012-03-31,13185,130
33,2011-12-31,17431,176
34,2011-09-30,10876,63
35,2011-06-30,9913,191
36,2011-03-31,9857,201
37,2010-12-31,12947,415
38,2010-09-30,7560,231
39,2010-06-30,6566,207
40,2010-03-31,7131,299
41,2009-12-31,9520,384
42,2009-09-30,5449,199
43,2009-06-30,4651,142
44,2009-03-31,4889,177
45,2008-12-31,6704,226
46,2008-09-30,4264,118
47,2008-06-30,4063,158
48,2008-03-31,4135,143
49,2007-12-31,5672,207
50,2007-09-30,3262,80
51,2007-06-30,2886,78
52,2007-03-31,3015,111
53,2006-12-31,3986,98
54,2006-09-30,2307,19
55,2006-06-30,2139,22
56,2006-03-31,2279,51
57,2005-12-31,2977,199
58,2005-09-30,1858,30
59,2005-06-30,1753,52
60,2005-03-31,1902,78
